Datum;Tijd;Parameter;Locatie;Meting;Eenheid;Bemonsteringshoogte;Referentievlak;
1-8-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,99;mg/l;-100;WATSGL;
15-8-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,62;mg/l;-100;WATSGL;
29-8-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;1,86;mg/l;-100;WATSGL;
12-9-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,77;mg/l;-100;WATSGL;
26-9-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,00;mg/l;-100;WATSGL;
10-10-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,76;mg/l;-100;WATSGL;
24-10-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,81;mg/l;-100;WATSGL;
7-11-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,38;mg/l;-100;WATSGL;
21-11-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,34;mg/l;-100;WATSGL;
5-12-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,33;mg/l;-100;WATSGL;
19-12-2007;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,81;mg/l;-100;WATSGL;
2-1-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,74;mg/l;-100;WATSGL;
16-1-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;2,91;mg/l;-100;WATSGL;
30-1-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,34;mg/l;-100;WATSGL;
13-2-2008;08:00:00;(massa)Concentratie nitraat in Oppervlaktewater uitgedrukt in stikstof / opgeloste fractie in mg/l;Lobith ponton;3,31;mg/l;-100;WATSGL;
